Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Age,Price_per_unit_wt,Visibility_Ratio,Is_Low_Fat,MRP_bin
FDI26,12.305705009276437,Low Fat,0.061082177,Canned,180.0344,OUT019,1985,Small,Tier 1,Grocery Store,892.172,40,14.630157302184985,0.8633614591682766,1,"(177.783, 194.486]"
FDM20,10.0,Low Fat,0.03874801133333333,Fruits and Vegetables,246.9144,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.1872,16,24.69144,0.5476808661324495,1,"(231.2, 266.888]"
FDV27,7.97,Regular,0.040071131,Meat,87.3514,OUT045,2002,Unknown,Tier 2,Supermarket Type1,1062.6168,23,10.960025094102885,0.5663824020332996,0,"(84.689, 102.133]"
FDF09,13.224769381746812,Low Fat,0.012090074,Fruits and Vegetables,38.2848,OUT027,1985,Medium,Tier 3,Supermarket Type3,484.7024,40,2.8949313893398947,0.1708862460827557,1,"(31.288999999999998, 52.796]"
FDY40,12.867061281337046,Regular,0.15028599,Frozen Foods,51.0692,OUT019,1985,Small,Tier 1,Grocery Store,147.8076,40,3.9689870813060497,2.1242060776410936,0,"(31.288999999999998, 52.796]"
FDY45,12.987879554655871,Low Fat,0.026015519,Snack Foods,255.8356,OUT027,1985,Medium,Tier 3,Supermarket Type3,2543.356,40,19.69802683520333,0.36771440619839113,1,"(231.2, 266.888]"
FDC46,17.7,Low Fat,0.195068226,Snack Foods,185.4266,OUT010,1998,Unknown,Tier 3,Grocery Store,184.4266,27,10.476079096045199,2.75717724069866,1,"(177.783, 194.486]"
FDH19,19.35,Low Fat,0.033082215,Meat,172.5738,OUT035,2004,Small,Tier 2,Supermarket Type1,4865.6664,21,8.918542635658914,0.4675980919101597,1,"(159.433, 177.783]"
FDZ03,13.65,Regular,0.078946455,Dairy,186.024,OUT045,2002,Unknown,Tier 2,Supermarket Type1,1118.544,23,13.628131868131868,1.115862759524152,0,"(177.783, 194.486]"
DRH37,17.6,Low Fat,0.041700756,Soft Drinks,164.8526,OUT045,2002,Unknown,Tier 2,Supermarket Type1,2302.3364,23,9.366624999999999,0.5894162146280455,1,"(159.433, 177.783]"
NCI17,8.645,Low Fat,0.143422643,Health and Hygiene,95.841,OUT046,1997,Small,Tier 1,Supermarket Type1,2027.361,28,11.086292654713708,2.02719661315036,1,"(84.689, 102.133]"
FDJ58,15.6,Regular,0.105296072,Snack Foods,170.1764,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528,28,10.90874358974359,1.488299448898292,0,"(159.433, 177.783]"
FDL12,15.85,Regular,0.121531501,Baking Goods,59.222,OUT013,1987,High,Tier 3,Supermarket Type1,599.22,38,3.7364037854889594,1.7177779049733422,0,"(52.796, 84.689]"
FDH35,18.25,Low Fat,0.068386192,Starchy Foods,164.7526,OUT045,2002,Unknown,Tier 2,Supermarket Type1,4604.6728,23,9.027539726027397,0.9665995125236273,1,"(159.433, 177.783]"
FDG02,7.855,Low Fat,0.011324862,Canned,189.6188,OUT017,2007,Unknown,Tier 2,Supermarket Type1,2285.0256,18,24.13988542329726,0.16007041434032987,1,"(177.783, 194.486]"
NCZ18,7.825,Low Fat,0.186357148,Household,254.3698,OUT049,1999,Medium,Tier 1,Supermarket Type1,5580.7356,26,32.50732268370607,2.634051160680119,1,"(231.2, 266.888]"
FDC29,8.39,Regular,0.024205661,Frozen Foods,114.0176,OUT046,1997,Small,Tier 1,Supermarket Type1,2290.352,28,13.589702026221692,0.34213310375451494,0,"(102.133, 118.765]"
FDQ10,12.85,Low Fat,0.033230816,Snack Foods,172.3422,OUT049,1999,Medium,Tier 1,Supermarket Type1,1207.0954,26,13.411844357976653,0.4696984816227574,1,"(159.433, 177.783]"
FDN48,12.277108208955223,Low Fat,0.113720344,Baking Goods,89.9804,OUT019,1985,Small,Tier 1,Grocery Store,643.1628,40,7.3291200556794065,1.6073716909755584,1,"(84.689, 102.133]"
FDL04,19.0,Low Fat,0.112556507,Frozen Foods,104.9622,OUT017,2007,Unknown,Tier 2,Supermarket Type1,1587.933,18,5.524326315789473,1.5909215240053467,1,"(102.133, 118.765]"
FDV25,5.905,Low Fat,0.054276717,Canned,222.5456,OUT045,2002,Unknown,Tier 2,Supermarket Type1,5305.0944,23,37.68765453005927,0.7671701941465446,1,"(194.486, 231.2]"
FDD58,7.76,Low Fat,0.059352241,Snack Foods,101.87,OUT046,1997,Small,Tier 1,Supermarket Type1,1697.79,28,13.12757731958763,0.8389098082517132,1,"(84.689, 102.133]"
FDN04,11.8,Regular,0.014087057,Frozen Foods,180.3344,OUT046,1997,Small,Tier 1,Supermarket Type1,1427.4752,28,15.28257627118644,0.1991124528339369,0,"(177.783, 194.486]"
FDV45,16.75,Low Fat,0.045230944,Snack Foods,187.9556,OUT018,2009,Medium,Tier 3,Supermarket Type2,4693.89,16,11.221229850746269,0.6393133927004371,1,"(177.783, 194.486]"
NCL18,13.384736495388669,Low Fat,0.293417759,Household,194.6136,OUT019,1985,Small,Tier 1,Grocery Store,583.2408,40,14.539964986762987,4.147291354008645,1,"(194.486, 231.2]"
FDR12,12.277108208955223,Regular,0.031382044,Baking Goods,171.3764,OUT027,1985,Medium,Tier 3,Supermarket Type3,3091.9752,40,13.959020078929813,0.44356715215836295,0,"(159.433, 177.783]"
FDG20,15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,OUT017,2007,Unknown,Tier 2,Supermarket Type1,2479.4392,18,11.419535483870968,1.786575226465925,0,"(159.433, 177.783]"
FDZ55,6.055,Low Fat,0.025403898,Fruits and Vegetables,160.992,OUT035,2004,Small,Tier 2,Supermarket Type1,2716.464,21,26.58827415359207,0.359069494950091,1,"(159.433, 177.783]"
FDQ49,12.768202247191013,Regular,0.039057677,Breakfast,155.963,OUT027,1985,Medium,Tier 3,Supermarket Type3,3285.723,40,12.214953756258963,0.5520578123213132,0,"(143.013, 159.433]"
FDN33,6.305,Regular,0.123115764,Snack Foods,95.6436,OUT046,1997,Small,Tier 1,Supermarket Type1,661.8052,28,15.169484536082475,1.7401705517741646,0,"(84.689, 102.133]"
FDN27,20.85,Low Fat,0.039624006,Meat,117.2808,OUT049,1999,Medium,Tier 1,Supermarket Type1,1523.3504,26,5.6249784172661865,0.5600625471854507,1,"(102.133, 118.765]"
FDW20,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.173,OUT010,1998,Unknown,Tier 3,Grocery Store,369.519,27,5.887855421686747,0.5713303271722376,1,"(118.765, 143.013]"
DRG27,8.895,Low Fat,0.105274111,Dairy,39.9138,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.4346,26,4.487217537942665,1.4879890427874423,1,"(31.288999999999998, 52.796]"
DRI25,19.6,Low Fat,0.033970195,Soft Drinks,55.1614,OUT045,2002,Unknown,Tier 2,Supermarket Type1,1381.535,23,2.814357142857143,0.4801491787601299,1,"(52.796, 84.689]"
FDA44,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,OUT035,2004,Small,Tier 2,Supermarket Type1,622.523,21,2.9387309644670054,0.7521302470429911,1,"(52.796, 84.689]"
NCR17,9.8,Low Fat,0.024378706,Health and Hygiene,114.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1274.3412,21,11.68869387755102,0.34457899535562425,1,"(102.133, 118.765]"
FDU04,12.867061281337046,Low Fat,0.009714595,Frozen Foods,120.0414,OUT019,1985,Small,Tier 1,Grocery Store,487.3656,40,9.329356360034854,0.13731021594775253,1,"(118.765, 143.013]"
FDF41,12.15,Low Fat,0.131383762,Frozen Foods,246.046,OUT049,1999,Medium,Tier 1,Supermarket Type1,1231.73,26,20.250699588477364,1.8570339506946119,1,"(231.2, 266.888]"
FDB56,8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.112,21,21.423497142857144,1.0546131362582893,0,"(177.783, 194.486]"
NCP18,13.384736495388669,Low Fat,0.028459761,Household,149.9708,OUT027,1985,Medium,Tier 3,Supermarket Type3,4363.6532,40,11.204613557515172,0.4022623618103921,1,"(143.013, 159.433]"
FDB56,8.75,Regular,0.074627201,Fruits and Vegetables,187.8556,OUT046,1997,Small,Tier 1,Supermarket Type1,1314.2892,28,21.46921142857143,1.054812587131665,0,"(177.783, 194.486]"
FDT28,13.3,Low Fat,0.063695084,Frozen Foods,151.0708,OUT045,2002,Unknown,Tier 2,Supermarket Type1,1805.6496,23,11.358706766917292,0.9002933975992039,1,"(143.013, 159.433]"
FDD10,12.987879554655871,Regular,0.045797829,Snack Foods,178.5344,OUT027,1985,Medium,Tier 3,Supermarket Type3,2854.9504,40,13.746231572959061,0.6473259863049611,0,"(177.783, 194.486]"
FDW57,8.31,Regular,0.115857223,Snack Foods,179.1028,OUT049,1999,Medium,Tier 1,Supermarket Type1,3896.2616,26,21.552683513838748,1.6375752472683547,0,"(177.783, 194.486]"
DRB48,16.75,Regular,0.024832806,Soft Drinks,38.7822,OUT013,1987,High,Tier 3,Supermarket Type1,667.7974,38,2.315355223880597,0.35099743781893583,0,"(31.288999999999998, 52.796]"
FDP09,19.75,Low Fat,0.034027909,Snack Foods,212.0902,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.853,16,10.73874430379747,0.48096493297357973,1,"(194.486, 231.2]"
FDH14,17.1,Regular,0.0467696,Canned,141.1838,OUT013,1987,High,Tier 3,Supermarket Type1,2247.7408,38,8.256362573099414,0.6610614107731725,0,"(118.765, 143.013]"
FDA47,10.5,Regular,0.116576702,Baking Goods,163.121,OUT013,1987,High,Tier 3,Supermarket Type1,1794.331,38,15.535333333333334,1.6477446693451243,0,"(159.433, 177.783]"
FDG12,6.635,Regular,0.0063362950000000005,Baking Goods,121.3098,OUT045,2002,Unknown,Tier 2,Supermarket Type1,2530.7058,23,18.283315749811607,0.08955988744344616,0,"(118.765, 143.013]"
DRE60,11.847459893048129,Low Fat,0.278974075,Soft Drinks,225.372,OUT019,1985,Small,Tier 1,Grocery Store,679.116,40,19.022811812365294,3.943138183534621,1,"(194.486, 231.2]"
DRK49,14.15,Low Fat,0.035913805,Soft Drinks,41.4138,OUT013,1987,High,Tier 3,Supermarket Type1,812.276,38,2.9267703180212017,0.5076209888374631,1,"(31.288999999999998, 52.796]"
FDD03,13.3,Low Fat,0.079806266,Dairy,232.53,OUT046,1997,Small,Tier 1,Supermarket Type1,699.09,28,17.48345864661654,1.1280156937519044,1,"(231.2, 266.888]"
FDS52,8.89,Low Fat,0.005505481,Frozen Foods,102.4016,OUT017,2007,Unknown,Tier 2,Supermarket Type1,2732.4432,18,11.518740157480314,0.0778168091419404,1,"(102.133, 118.765]"
FDW39,12.81734421364985,Regular,0.064625342,Meat,176.937,OUT019,1985,Small,Tier 1,Grocery Store,176.437,40,13.804497800064594,0.9134420596759167,0,"(159.433, 177.783]"
FDX34,12.987879554655871,Low Fat,0.071636937,Snack Foods,121.7098,OUT027,1985,Medium,Tier 3,Supermarket Type3,4097.3332,40,9.371029311429801,1.012546924427168,1,"(118.765, 143.013]"
FDV11,9.1,Regular,0.10004742100000001,Breads,173.2054,OUT045,2002,Unknown,Tier 2,Supermarket Type1,3151.8972,23,19.03356043956044,1.4141127841691512,0,"(159.433, 177.783]"
FDD17,7.5,Low Fat,0.032677678,Frozen Foods,239.0906,OUT049,1999,Medium,Tier 1,Supermarket Type1,5942.265,26,31.878746666666665,0.46188019396085195,1,"(231.2, 266.888]"
FDZ16,16.85,Regular,0.160760054,Frozen Foods,192.4478,OUT017,2007,Unknown,Tier 2,Supermarket Type1,4843.695,18,11.421234421364984,2.2722509513276017,0,"(177.783, 194.486]"
FDZ46,7.485,Low Fat,0.06911065,Snack Foods,109.0228,OUT035,2004,Small,Tier 2,Supermarket Type1,2542.0244,21,14.565504342017368,0.9768393099032481,1,"(102.133, 118.765]"
DRA12,11.6,Low Fat,0.041177505,Soft Drinks,140.3154,OUT017,2007,Unknown,Tier 2,Supermarket Type1,2552.6772,18,12.096155172413795,0.5820203625307757,1,"(118.765, 143.013]"
FDY58,11.65,Low Fat,0.040081193,Snack Foods,227.0694,OUT018,2009,Medium,Tier 3,Supermarket Type2,1141.847,16,19.490935622317597,0.5665246226192187,1,"(194.486, 231.2]"
NCF19,13.0,Low Fat,0.035307322,Household,47.5034,OUT017,2007,Unknown,Tier 2,Supermarket Type1,680.4476,18,3.6541076923076923,0.4990487002656142,1,"(31.288999999999998, 52.796]"
DRJ13,12.65,Low Fat,0.063017847,Soft Drinks,159.0578,OUT045,2002,Unknown,Tier 2,Supermarket Type1,2085.9514,23,12.573739130434781,0.8907210419098717,1,"(143.013, 159.433]"
FDB14,20.25,Regular,0.171938781,Canned,92.512,OUT010,1998,Unknown,Tier 3,Grocery Store,186.424,27,4.568493827160494,2.4302558314477687,0,"(84.689, 102.133]"
FDJ38,8.6,Regular,0.040197932,Canned,190.153,OUT035,2004,Small,Tier 2,Supermarket Type1,3036.048,21,22.11081395348837,0.5681746612774976,0,"(177.783, 194.486]"
FDW11,12.6,Low Fat,0.049058014,Breads,62.7194,OUT017,2007,Unknown,Tier 2,Supermarket Type1,866.8716,18,4.977730158730159,0.6934068271819739,1,"(52.796, 84.689]"
FDL40,17.7,Low Fat,0.01161096,Frozen Foods,95.041,OUT035,2004,Small,Tier 2,Supermarket Type1,868.869,21,5.36954802259887,0.16411424510859351,1,"(84.689, 102.133]"
DRI49,14.15,Low Fat,0.183507295,Soft Drinks,82.4276,OUT046,1997,Small,Tier 1,Supermarket Type1,1137.1864,28,5.825272084805653,2.593770126746193,1,"(52.796, 84.689]"
FDV38,19.25,Low Fat,0.102349519,Dairy,52.7956,OUT017,2007,Unknown,Tier 2,Supermarket Type1,928.1252,18,2.7426285714285714,1.4466516160517862,1,"(31.288999999999998, 52.796]"
DRG23,8.88,Low Fat,0.086708987,Hard Drinks,151.7682,OUT013,1987,High,Tier 3,Supermarket Type1,762.341,38,17.091013513513513,1.2255816870987282,1,"(143.013, 159.433]"
NCP30,20.5,Low Fat,0.032835147,Household,40.2822,OUT045,2002,Unknown,Tier 2,Supermarket Type1,707.0796,23,1.9649853658536587,0.46410592775573245,1,"(31.288999999999998, 52.796]"
FDY25,12.305705009276437,Low Fat,0.033809913,Canned,180.5976,OUT027,1985,Medium,Tier 3,Supermarket Type3,7968.2944,40,14.675924692153737,0.4778836848272857,1,"(177.783, 194.486]"
NCH54,13.5,Low Fat,0.07266912,Household,160.292,OUT046,1997,Small,Tier 1,Supermarket Type1,1438.128,28,11.873481481481482,1.0271362377878999,1,"(159.433, 177.783]"
NCR53,13.14231395348837,Low Fat,0.144338493,Health and Hygiene,224.4404,OUT027,1985,Medium,Tier 3,Supermarket Type3,6976.2524,40,17.07769277117495,2.0401416264294263,1,"(194.486, 231.2]"
FDS52,8.89,Low Fat,0.009163216,Frozen Foods,101.7016,OUT010,1998,Unknown,Tier 3,Grocery Store,101.2016,27,11.44,0.12951679073969644,1,"(84.689, 102.133]"
FDG02,7.855,Low Fat,0.011307038,Canned,188.5188,OUT018,2009,Medium,Tier 3,Supermarket Type2,952.094,16,23.999847231063015,0.15981848234635043,1,"(177.783, 194.486]"
NCO26,7.235,Low Fat,0.076855628,Household,116.0492,OUT046,1997,Small,Tier 1,Supermarket Type1,1969.4364,28,16.03997235659986,1.0863101217786368,1,"(102.133, 118.765]"
FDH35,13.69073076923077,Low Fat,0.059956876,Starchy Foods,165.4526,OUT027,1985,Medium,Tier 3,Supermarket Type3,5262.4832,40,12.08500866672847,0.847455976405874,1,"(159.433, 177.783]"
FDB51,6.92,Low Fat,0.038532062,Dairy,60.5852,OUT045,2002,Unknown,Tier 2,Supermarket Type1,1314.2892,23,8.755086705202313,0.5446285464429746,1,"(52.796, 84.689]"
